wordCount,readabilityScore,ReadabilityGrade,DirectionCount,WPS,Sixltr,pronoun,ppron,i,you,ipron,prep,verb,auxverb,negate,focuspast,focuspresent,AllPunc,Comma,QMark,Colon,Dash,Parenth,Exemplify,tfidf,transitional_words,transitional_phrases,addition_words,addition_phrases,consequence_words,consequence_phrases,contrast_and_Comparison_words,contrast_and_Comparison_phrases,direction_words,direction_phrases,diversion_words,diversion_phrases,emphasis_words,emphasis_phrases,exception_words,exception_phrases,exemplifying_words,exemplifying_phrases,generalizing_words,generalizing_phrases,illustration_words,illustration_phrases,similarity_words,similarity_phrases,restatement_words,restatement_phrases,sequence_words,sequence_phrases,summarizing_words,summarizing_phrases,persuasion
132,77.2256060606061,6.131515151515149,0,14.666666666666666,29.545454545454547,12.878787878787879,4.545454545454546,0.7575757575757576,3.787878787878788,8.333333333333332,13.636363636363635,15.151515151515152,7.575757575757576,2.272727272727273,0.7575757575757576,9.090909090909092,14.393939393939394,3.0303030303030303,0,0,0,0,0,243.4104127415022,3.0303030303030303,0,0.7575757575757576,0,0,0,1.5151515151515151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7575757575757576,0,0,0,0
96,63.090750000000014,9.22925,0,19.2,33.33333333333333,8.333333333333332,3.125,0,1.0416666666666665,5.208333333333334,17.708333333333336,13.541666666666666,10.416666666666668,1.0416666666666665,0,11.458333333333332,17.708333333333336,9.375,0,0,1.0416666666666665,3.125,0,204.31051179478482,2.083333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0416666666666665,0,0,0,0,0,0,0,1.0416666666666665,0,0,0,0
262,66.90383206106873,10.436396946564887,0,26.2,21.755725190839694,14.885496183206106,6.870229007633588,1.9083969465648856,0.7633587786259541,8.015267175572518,14.885496183206106,15.267175572519085,7.633587786259542,0.7633587786259541,0.38167938931297707,14.122137404580155,9.923664122137405,5.343511450381679,0,0.38167938931297707,0.38167938931297707,1.1450381679389312,0,517.4308645706304,1.9083969465648856,2,0.38167938931297707,0,0,0,1.1450381679389312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.38167938931297707,0,0,0,0
284,66.24081306017929,10.4340204865557,0,25.818181818181817,21.12676056338028,17.253521126760564,8.450704225352112,1.7605633802816902,0.7042253521126761,8.80281690140845,13.380281690140844,18.661971830985916,11.267605633802818,2.112676056338028,8.450704225352112,6.690140845070422,12.323943661971832,7.042253521126761,0,0.7042253521126761,1.056338028169014,0.7042253521126761,0,533.137392353303,1.7605633802816902,0,0,0,0,0,1.7605633802816902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,75.70750000000002,5.805,1,12.5,18,10,4,2,2,6,12,18,12,2,8,10,12,4,2,0,0,0,0,93.85910416415742,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,58.28242088607598,10.036550632911396,0,19.75,26.582278481012654,6.329113924050633,1.2658227848101267,0,1.2658227848101267,5.063291139240507,12.658227848101266,12.658227848101266,10.126582278481013,2.5316455696202533,0,15.18987341772152,11.39240506329114,6.329113924050633,0,0,0,0,0,150.45566619411562,3.79746835443038,0,1.2658227848101267,0,0,0,0,0,0,0,0,0,0,0,1.2658227848101267,0,0,0,0,0,0,0,0,0,0,0,1.2658227848101267,0,0,0,0
250,62.61961818181821,10.171236363636364,1,22.727272727272727,30,6.4,2,0,0.4,4.3999999999999995,13.200000000000001,9.6,7.6,0.4,0.8,7.6,14.000000000000002,6,0,0,2.4,0.8,0,671.5245339231967,1.6,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
364,75.6968772893773,6.4689560439560445,1,15.166666666666666,21.428571428571427,12.637362637362637,7.6923076923076925,0.27472527472527475,4.1208791208791204,4.945054945054945,10.164835164835164,18.681318681318682,11.263736263736265,1.098901098901099,1.098901098901099,13.186813186813188,11.538461538461538,3.571428571428571,0.27472527472527475,0,0,0,0,680.5158183927917,1.6483516483516485,1,0.27472527472527475,0,0,0,0.8241758241758242,0,0.27472527472527475,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.27472527472527475,0,0,0,0
61,85.56501366120222,3.850409836065573,0,10.166666666666666,16.39344262295082,26.229508196721312,18.0327868852459,1.639344262295082,6.557377049180328,8.19672131147541,1.639344262295082,37.704918032786885,24.59016393442623,8.19672131147541,3.278688524590164,27.86885245901639,16.39344262295082,6.557377049180328,1.639344262295082,0,0,0,0,89.0130605327066,3.278688524590164,0,0,0,0,0,3.278688524590164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,79.27373563218391,7.005172413793105,0,19.333333333333332,19.82758620689655,15.517241379310345,6.896551724137931,2.586206896551724,0,8.620689655172415,12.931034482758621,19.82758620689655,12.931034482758621,3.4482758620689653,1.7241379310344827,11.206896551724139,12.068965517241379,3.4482758620689653,0.8620689655172413,0,0,5.172413793103448,0,187.2188428112212,2.586206896551724,0,0,0,0,0,2.586206896551724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
